dataset_id,kind,symbol,market,adjust,interval,status,quality_status,row_count,min_value,max_value,listing_date,coverage_status,error_type,error_message,data_path,metadata_path
daily:002129:qfq,equity_daily,002129,A,qfq,,success,PASS,4155,2007-04-20,2026-08-24,2007-04-20,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=002129/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=002129/adjust=qfq/metadata.json
daily:002129:hfq,equity_daily,002129,A,hfq,,success,PASS,4155,2007-04-20,2026-08-24,2007-04-20,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=002129/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=002129/adjust=hfq/metadata.json
daily:000100:raw,equity_daily,000100,A,raw,,success,PASS,5131,2004-01-30,2026-08-24,2004-01-30,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=000100/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=000100/adjust=raw/metadata.json
daily:000100:qfq,equity_daily,000100,A,qfq,,success,PASS,5131,2004-01-30,2026-08-24,2004-01-30,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=000100/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=000100/adjust=qfq/metadata.json
daily:000100:hfq,equity_daily,000100,A,hfq,,success,PASS,5131,2004-01-30,2026-08-24,2004-01-30,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=000100/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=000100/adjust=hfq/metadata.json
daily:300433:raw,equity_daily,300433,A,raw,,success,PASS,2757,2015-03-18,2026-08-24,2015-03-18,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=300433/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=300433/adjust=raw/metadata.json
daily:300433:qfq,equity_daily,300433,A,qfq,,success,PASS,2757,2015-03-18,2026-08-24,2015-03-18,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=300433/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=300433/adjust=qfq/metadata.json
daily:300433:hfq,equity_daily,300433,A,hfq,,success,PASS,2757,2015-03-18,2026-08-24,2015-03-18,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=300433/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=300433/adjust=hfq/metadata.json
daily:02180.HK:raw,equity_daily,02180.HK,HK,raw,,success,FAIL,1314,2019-07-10,2026-08-24,2019-07-10,complete_to_verified_listing_date,,ohlc_logic_error,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=HK/symbol=02180.HK/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=HK/symbol=02180.HK/adjust=raw/metadata.json
daily:02180.HK:qfq,equity_daily,02180.HK,HK,qfq,,success,FAIL,1314,2019-07-10,2026-08-24,2019-07-10,complete_to_verified_listing_date,,ohlc_logic_error,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=HK/symbol=02180.HK/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=HK/symbol=02180.HK/adjust=qfq/metadata.json
