dataset_id,kind,symbol,market,adjust,interval,status,quality_status,row_count,min_value,max_value,listing_date,coverage_status,error_type,error_message,source,interface,attempt_count,selected_source,selection_reason,trigger_reason,blocker_category,selected_provider,selected_interface,provider_attempts,quality_result,coverage_result,requested_response_keys,used_response_keys,response_field_fallback,qfq_hfq_identical,data_path,metadata_path
daily:600231:raw,equity_daily,600231,A,raw,,success,PASS,6241,2000-05-11,2026-08-24,2000-05-11,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600231/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600231/adjust=raw/source=sina/metadata.json
daily:600231:qfq,equity_daily,600231,A,qfq,,success,PASS,6241,2000-05-11,2026-08-24,2000-05-11,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600231/adjust=qfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600231/adjust=qfq/source=sina/metadata.json
daily:600231:hfq,equity_daily,600231,A,hfq,,success,PASS,6241,2000-05-11,2026-08-24,2000-05-11,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600231/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600231/adjust=hfq/source=sina/metadata.json
daily:300274:raw,equity_daily,300274,A,raw,,success,PASS,3570,2011-11-02,2026-08-24,2011-11-02,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=300274/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=300274/adjust=raw/source=sina/metadata.json
daily:300274:qfq,equity_daily,300274,A,qfq,,success,PASS,3570,2011-11-02,2026-08-24,2011-11-02,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=300274/adjust=qfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=300274/adjust=qfq/source=sina/metadata.json
daily:300274:hfq,equity_daily,300274,A,hfq,,success,PASS,3570,2011-11-02,2026-08-24,2011-11-02,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=300274/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=300274/adjust=hfq/source=sina/metadata.json
daily:601636:raw,equity_daily,601636,A,raw,,success,PASS,3637,2011-08-12,2026-08-24,2011-08-12,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601636/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601636/adjust=raw/source=sina/metadata.json
daily:601636:qfq,equity_daily,601636,A,qfq,,success,PASS,3637,2011-08-12,2026-08-24,2011-08-12,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601636/adjust=qfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601636/adjust=qfq/source=sina/metadata.json
daily:601636:hfq,equity_daily,601636,A,hfq,,success,PASS,3637,2011-08-12,2026-08-24,2011-08-12,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601636/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601636/adjust=hfq/source=sina/metadata.json
daily:002129:raw,equity_daily,002129,A,raw,,success,PASS,4155,2007-04-20,2026-08-24,2007-04-20,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002129/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002129/adjust=raw/source=sina/metadata.json
