run_id,symbol,interface_id,report_period,announcement_date,as_of_date,potential_lookahead,announcement_date_status,raw_path,notes
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2015-09-30,2015-10-28,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2015-06-30,2015-08-25,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2015-03-31,2015-04-28,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2014-12-31,2015-04-25,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2014-09-30,2014-10-29,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2014-06-30,2014-08-28,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2014-03-31,2014-04-25,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2013-12-31,2014-04-25,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2013-09-30,2013-10-29,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2013-06-30,2013-08-27,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
