artifact_group,path,expected_sha256,actual_sha256,size,hash_match,status
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=603259/data.parquet,08481181d47b1759911593d221827b7a2d7fe8c08c8ef8251b8b88137ab05af1,08481181d47b1759911593d221827b7a2d7fe8c08c8ef8251b8b88137ab05af1,226833,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=603799/data.parquet,31712bb3d67acdff35b3fad1fe8017ff5f3bd7a9722d0d509d2dd08fb7174145,31712bb3d67acdff35b3fad1fe8017ff5f3bd7a9722d0d509d2dd08fb7174145,250076,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,4d73f2352e79e9b8d7ecc023b379727e8216edb48ddcfd48b2d80b978a779f67,4d73f2352e79e9b8d7ecc023b379727e8216edb48ddcfd48b2d80b978a779f67,239804,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,1541ef5575d94be88d613e24f794fd570a16d7fa680e759a4301bb9dc4206d57,1541ef5575d94be88d613e24f794fd570a16d7fa680e759a4301bb9dc4206d57,215886,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,37b97920906e7367ffa9054414f2d41b0aa65f8ceae16032b3fef8f5d12a4f9a,37b97920906e7367ffa9054414f2d41b0aa65f8ceae16032b3fef8f5d12a4f9a,218471,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,50cebd875069ab9c833eec918e6722d4ef49179ecdaaad21887efd7875c77718,50cebd875069ab9c833eec918e6722d4ef49179ecdaaad21887efd7875c77718,213354,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002361/data.parquet,ce10819fa4aeb460164d301e3a47de78f36a65f2adc4eee9709678bb3a9f5c38,ce10819fa4aeb460164d301e3a47de78f36a65f2adc4eee9709678bb3a9f5c38,203546,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002600/data.parquet,b577392bfbe66a9e2132b9a009e0a0a16a978d07ac412d6d52942429a6e6f6a8,b577392bfbe66a9e2132b9a009e0a0a16a978d07ac412d6d52942429a6e6f6a8,208684,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=300274/data.parquet,6408f8ca479fff18a744739cfe35b914615d6c79eea9eb6410865fcc8934cc86,6408f8ca479fff18a744739cfe35b914615d6c79eea9eb6410865fcc8934cc86,204157,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=300433/data.parquet,9ff511e983dda62f091e8aff20ff0a173dd34a59984473636c11d4c56b228a99,9ff511e983dda62f091e8aff20ff0a173dd34a59984473636c11d4c56b228a99,193959,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=600231/data.parquet,8d5457de62012e08b462a1711bf235a625c9977c489df6ac91b6e492c8f30335,8d5457de62012e08b462a1711bf235a625c9977c489df6ac91b6e492c8f30335,222735,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=600438/data.parquet,5b398d10a34d002de601a2fe2385cc6200ed56134573b2118736a19065b9af17,5b398d10a34d002de601a2fe2385cc6200ed56134573b2118736a19065b9af17,228632,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=600763/data.parquet,90add681a8794ee98c89682c871acfacba282cb916e8e0c13d469a2b82bfb6fa,90add681a8794ee98c89682c871acfacba282cb916e8e0c13d469a2b82bfb6fa,216107,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=601012/data.parquet,54b7e06df64ca391488971d9c7a2a702ff34a393fe1d2ef54f2d042940500bf0,54b7e06df64ca391488971d9c7a2a702ff34a393fe1d2ef54f2d042940500bf0,210306,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=601500/data.parquet,4348c969eb15c6feea71cf8860797d87e77454324bd7e1f76947665995c6b9b1,4348c969eb15c6feea71cf8860797d87e77454324bd7e1f76947665995c6b9b1,185636,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=601636/data.parquet,ac12065469bf7a0972ee98ea41edf44dc8134473fde7bfe7b359e43cbf52d8fa,ac12065469bf7a0972ee98ea41edf44dc8134473fde7bfe7b359e43cbf52d8fa,204148,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=603259/data.parquet,9ea4dd19d54f7e4ef6d6f164b9e9665370dc4954e90d003cec4ced0a3c9fb2e1,9ea4dd19d54f7e4ef6d6f164b9e9665370dc4954e90d003cec4ced0a3c9fb2e1,186105,True,PASS
stage4_raw,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=603799/data.parquet,8fdc35c2ca3883652a07c5b56e38b78256c0d36380b134276a8160cbe83dd226,8fdc35c2ca3883652a07c5b56e38b78256c0d36380b134276a8160cbe83dd226,205083,True,PASS
stage4_raw,data/raw/stock_financial_abstract/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,ab4eb341d072a1feaf67b302d21f08f134c7aa9a0997bc9787394df4c10870c4,ab4eb341d072a1feaf67b302d21f08f134c7aa9a0997bc9787394df4c10870c4,112486,True,PASS
stage4_raw,data/raw/stock_financial_abstract/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,574c3df4be07a319816a241e67504ec88c605a328d60063337d275fd61a78640,574c3df4be07a319816a241e67504ec88c605a328d60063337d275fd61a78640,98379,True,PASS
stage4_raw,data/raw/stock_financial_abstract/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,e2000d615119568449f15e4f7aa12f2934a6bc6e8f49bbf37f5626a7ff353dda,e2000d615119568449f15e4f7aa12f2934a6bc6e8f49bbf37f5626a7ff353dda,95670,True,PASS
stage4_raw,data/raw/stock_financial_abstract/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,cdfea7a3e49b7e0eb3731ff348608d606384874aad5e3ab09e87f9ec005cf5a8,cdfea7a3e49b7e0eb3731ff348608d606384874aad5e3ab09e87f9ec005cf5a8,91091,True,PASS
stage4_raw,data/raw/stock_financial_abstract/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002361/data.parquet,eb8afc0588c139462d957a225956978424026269f2d97eeeea6794db3f6ad918,eb8afc0588c139462d957a225956978424026269f2d97eeeea6794db3f6ad918,81608,True,PASS
stage4_raw,data/raw/stock_financial_abstract/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002600/data.parquet,6018920df3f64f9b7ef5c0c5b46f2e9e12905db5f7bf22eac8c59adefca82651,6018920df3f64f9b7ef5c0c5b46f2e9e12905db5f7bf22eac8c59adefca82651,77638,True,PASS
